Date,City,Latitude,Longitude,Weight
19-09-2020,S52,28.66,77.23,6.226701088
25-05-2020,S99,30.9083,75.8486,6.678444478
11/3/2020,S39,22.15,82.0167,6.378018358
7/10/2020,S150,21.17,72.83,6.792098745
8/6/2020,S4,19.0833,74.7333,5.7991085
6/1/2020,S52,28.66,77.23,3.690964109
10/10/2020,S74,17.3667,78.4667,5.649568391
8/11/2020,S52,28.66,77.23,6.825305343
4/9/2020,S77,22.7206,75.8472,6.125077832
4/6/2020,S93,22.5411,88.3378,6.182486076
13-10-2020,S107,18.9667,72.8333,6.541910359
20-12-2019,S33,23.25,77.4167,6.092853498
3/4/2020,S20,28.364,79.415,3.954316615
1/11/2020,S164,22.3,73.2,3.324072152
24-03-2020,S107,18.9667,72.8333,14.01067772
10/3/2020,S62,28.6667,77.4167,3.875479724
1/6/2020,S98,26.847,80.947,3.653729814
23-07-2020,S45,13.0825,80.275,3.317557326
2/8/2020,S53,23.7928,86.435,5.926224876
29-05-2020,S127,21.2379,81.6337,12.44959961
19-07-2020,S100,9.9197,78.1194,6.332212887
18-12-2019,S74,17.3667,78.4667,6.25769899
28-11-2019,S45,13.0825,80.275,3.664564121
7/11/2020,S136,28.9,76.5667,6.041390763
20-04-2020,S15,19.88,75.32,12.90882932
25-10-2020,S107,18.9667,72.8333,6.226354704
16-03-2020,S107,18.9667,72.8333,5.655375418
5/11/2020,S160,24.5833,73.6833,13.59111843
21-12-2019,S84,22.8,86.1833,3.208518204
26-08-2020,S32,19.3,73.0667,6.43359824
7/6/2020,S112,21.1539,79.0831,6.326595504
19-01-2020,S32,19.3,73.0667,3.607223565
12/12/2019,S3,23.03,72.58,12.70501514
8/12/2019,S45,13.0825,80.275,6.819980501
27-11-2019,S98,26.847,80.947,3.864168105
29-12-2019,S84,22.8,86.1833,5.985257847
19-01-2020,S160,24.5833,73.6833,3.675739703
30-10-2020,S20,28.364,79.415,12.07727811
23-04-2020,S52,28.66,77.23,12.35151321
24-10-2020,S12,31.6167,74.85,6.552512801
